,month,district,mean
362,2025-01-01,Great Basin District,778.309
363,2025-01-01,Northern Buttes District,648.38275
364,2025-01-01,Ocotillo Wells District,-73.79849999999999
365,2025-01-01,Sierra District,1582.1473902979064
366,2025-02-01,Bay Area District,134.646
367,2025-02-01,Central Valley District,653.6563276836159
368,2025-02-01,Great Basin District,780.345
369,2025-02-01,Northern Buttes District,649.727625
370,2025-02-01,Ocotillo Wells District,-73.6975
371,2025-02-01,Sierra District,1583.061222222222
372,2025-03-01,Bay Area District,134.32376271186442
373,2025-03-01,Central Valley District,659.1796891385767
374,2025-03-01,Great Basin District,782.017
375,2025-03-01,Northern Buttes District,649.83325
376,2025-03-01,Ocotillo Wells District,-73.58666666666666
377,2025-03-01,Sierra District,1569.3781179378532
378,2025-04-01,Bay Area District,133.967
379,2025-04-01,Central Valley District,665.296154494382
380,2025-04-01,Great Basin District,785.088
381,2025-04-01,Northern Buttes District,650.4168524590164
382,2025-04-01,Ocotillo Wells District,-73.608
383,2025-04-01,Sierra District,1570.1566875
384,2025-05-01,Bay Area District,133.637
385,2025-05-01,Central Valley District,657.73775
386,2025-05-01,Great Basin District,788.084
387,2025-05-01,Northern Buttes District,651.10675
388,2025-05-01,Ocotillo Wells District,-73.549
389,2025-05-01,Sierra District,1571.32825
390,2025-06-01,Bay Area District,133.193
391,2025-06-01,Central Valley District,657.9693333333333
392,2025-06-01,Great Basin District,788.48
393,2025-06-01,Northern Buttes District,651.0159200819672
394,2025-06-01,Ocotillo Wells District,-73.718
395,2025-06-01,Sierra District,1571.6191413934425
396,2025-07-01,Bay Area District,132.548
397,2025-07-01,Central Valley District,779.7958
398,2025-07-01,Great Basin District,786.635
399,2025-07-01,Northern Buttes District,650.3498333333333
400,2025-07-01,Ocotillo Wells District,-73.8246
401,2025-07-01,Sierra District,1570.8640625
402,2025-08-01,Bay Area District,131.6015
403,2025-08-01,Central Valley District,783.9694666666667
404,2025-08-01,Great Basin District,784.7
405,2025-08-01,Northern Buttes District,649.67975
406,2025-08-01,Ocotillo Wells District,-73.81899999999999
407,2025-08-01,Sierra District,1569.8045
408,2025-09-01,Central Valley District,450.295875
409,2025-09-01,Great Basin District,783.709
410,2025-09-01,Northern Buttes District,848.9928415300546
411,2025-09-01,Ocotillo Wells District,-73.71532786885246
412,2025-09-01,Sierra District,1588.4267213114754
413,2025-10-01,Central Valley District,710.7895
414,2025-10-01,Great Basin District,781.628
415,2025-10-01,Northern Buttes District,709.647
416,2025-10-01,Ocotillo Wells District,-73.615
417,2025-10-01,Sierra District,1581.455
