,sum,std,month,district
80,2530.3702799479165,0.4966779765650157,2020-04-01,San Luis Obispo Coast District
81,11472.650065104166,1.6680374063476906,2020-04-01,Santa Cruz District
82,67896.20833333333,1.199340021600797,2020-04-01,Sierra District
83,2401.39501953125,0.5045209678020773,2020-04-01,Sonoma-Mendocino Coast District
84,2352.26171875,0.5032977508965747,2020-05-01,Angeles District
85,21692.398111979168,1.667350935888207,2020-05-01,Bay Area District
86,19650.290690104168,1.8847601900195505,2020-05-01,Capital District
87,27035.653645833332,0.6847686141424912,2020-05-01,Central Valley District
88,2075.886271158854,0.4570337193866571,2020-05-01,Channel Coast District
89,3559.1007486979165,0.5260647308184184,2020-05-01,Colorado Desert District
90,49007.49609375,1.4756059399152832,2020-05-01,Diablo Range District
91,4412.7937418619795,0.8025421355175927,2020-05-01,Gold Fields District
