,min,max,mean,std,month,district
1764,-3.3699874877929688,115.75399780273438,64.64530944999426,22.94302579384878,2023-05-01,Sierra District
2260,6.206024169921875,90.91401672363281,62.27388457807953,7.243847328478722,2023-05-01,Sonoma-Mendocino Coast District
2913,72.91401672363281,115.93400573730469,97.11238857374393,8.366429899830687,2023-05-09,Angeles District
3161,59.91801834106445,108.76998901367188,88.49470147907648,8.525588038224091,2023-05-09,Bay Area District
185,84.68598175048828,125.7979736328125,103.0240522174535,5.923714872239922,2023-05-09,Capital District
433,28.34600257873535,134.8699951171875,90.99698561517832,22.102505545841726,2023-05-09,Central Valley District
3409,60.0260124206543,119.17398834228516,89.92440699126092,8.000083640133658,2023-05-09,Channel Coast District
681,80.00602722167969,143.68997192382812,106.17579942579943,13.73937227949098,2023-05-09,Colorado Desert District
929,42.673988342285156,124.61002349853516,97.07612387303939,8.248745135187818,2023-05-09,Diablo Range District
1177,70.57398986816406,114.781982421875,93.90411324786325,9.125869336276189,2023-05-09,Gold Fields District
2169,32.45000076293945,160.4300079345703,108.67979240346186,16.604346976202773,2023-05-09,Great Basin District
2665,42.746002197265625,148.65798950195312,117.74640501255084,11.960689971289169,2023-05-09,Inland Empire District
3657,57.865989685058594,108.58998107910156,90.07625621890547,6.85690742931,2023-05-09,Monterey District
3905,39.0739860534668,106.28598022460938,79.05439835812773,7.55116450988468,2023-05-09,North Coast Redwoods District
1425,32.665992736816406,151.4300079345703,89.80984983562712,14.809626493940709,2023-05-09,Northern Buttes District
4153,73.27398681640625,118.59797668457031,93.73368031051517,9.095185069016088,2023-05-09,Oceano Dunes District
1673,78.6020278930664,144.58998107910156,122.82807399347116,10.502699403444709,2023-05-09,Ocotillo Wells District
4401,69.8180160522461,107.58198547363281,90.90652412280701,7.113803064979251,2023-05-09,Orange Coast District
4649,68.08998107910156,109.3819808959961,93.8913986013986,5.314657432401844,2023-05-09,San Diego Coast District
4897,67.1180191040039,118.56199645996094,97.29852111831053,8.771937077124015,2023-05-09,San Luis Obispo Coast District
5145,61.78997802734375,110.93000793457031,84.27855534105534,8.732608437712953,2023-05-09,Santa Cruz District
1921,27.553997039794922,154.9939727783203,81.21154824714105,25.043514988139577,2023-05-09,Sierra District
2417,52.46599197387695,103.94599914550781,80.8166858384458,8.125699478096596,2023-05-09,Sonoma-Mendocino Coast District
2860,49.873985290527344,120.97398376464844,98.83485036546683,9.000499601956678,2023-05-17,Angeles District
3108,55.74200439453125,113.95399475097656,90.5767024845847,9.765115982507494,2023-05-17,Bay Area District
132,87.85399627685547,125.04200744628906,106.64376192179304,5.895208524903167,2023-05-17,Capital District
380,33.746002197265625,139.80197143554688,96.57228368102511,22.689676555911095,2023-05-17,Central Valley District
3356,54.157997131347656,126.6979751586914,93.3189203019061,9.664785451210562,2023-05-17,Channel Coast District
628,79.53800964355469,144.0859832763672,110.6923076923077,14.892881795212237,2023-05-17,Colorado Desert District
876,39.43400955200195,137.8939666748047,99.98036762434353,9.556751550949226,2023-05-17,Diablo Range District
1124,77.7020263671875,124.03401184082031,100.19934710351377,10.853562216379853,2023-05-17,Gold Fields District
2116,33.134010314941406,176.95401000976562,114.9336437718277,16.7791187582431,2023-05-17,Great Basin District
2612,52.39397430419922,160.78997802734375,122.8829464303088,13.64178789059385,2023-05-17,Inland Empire District
3604,64.23800659179688,116.04200744628906,92.04637906789876,7.877288744926163,2023-05-17,Monterey District
3852,42.63800811767578,107.54600524902344,80.0413978372484,9.018359144834077,2023-05-17,North Coast Redwoods District
1372,17.834009170532227,143.68997192382812,96.47882006476105,14.108256004637106,2023-05-17,Northern Buttes District
4100,69.06199645996094,124.96998596191406,97.42958804809052,10.460190268772523,2023-05-17,Oceano Dunes District
1620,83.56999206542969,156.14599609375,126.32418616249547,10.52176259674293,2023-05-17,Ocotillo Wells District
4348,52.06998825073242,112.1180191040039,92.70335005144032,8.802914082928623,2023-05-17,Orange Coast District
4596,47.318016052246094,111.36199188232422,93.77512217470984,8.034730937348824,2023-05-17,San Diego Coast District
4844,58.98198318481445,127.95799255371094,103.81556490384615,10.388500672207373,2023-05-17,San Luis Obispo Coast District
5092,59.59397506713867,108.37398529052734,83.903803075557,9.160671958998224,2023-05-17,Santa Cruz District
1868,6.206024169921875,163.0220184326172,88.45671615697033,24.90193189864951,2023-05-17,Sierra District
2364,50.63001251220703,107.07798767089844,82.92372827198363,9.68082002023749,2023-05-17,Sonoma-Mendocino Coast District
2852,44.00602340698242,117.44599914550781,93.52191571181918,10.809637894089768,2023-05-25,Angeles District
3100,58.4420051574707,110.96598815917969,88.941460947445,8.853861286879471,2023-05-25,Bay Area District
124,81.51802062988281,117.7340087890625,101.2192715784454,6.26910960362299,2023-05-25,Capital District
372,32.37798309326172,144.69796752929688,93.6037796104973,21.43245774944935,2023-05-25,Central Valley District
3348,49.261993408203125,117.01402282714844,87.59415627931912,8.37931705328402,2023-05-25,Channel Coast District
620,71.40202331542969,142.14199829101562,104.71505296505296,15.545822409697445,2023-05-25,Colorado Desert District
868,64.8499984741211,128.64199829101562,95.91253174750666,9.43153297256737,2023-05-25,Diablo Range District
1116,69.16999053955078,121.62201690673828,94.2002849002849,12.08530640287877,2023-05-25,Gold Fields District
